bus_id,route,bus_type,depot,date,capacity,passengers,occupancy_rate,distance_km,fare_per_passenger,revenue,fuel_consumed_liters,month,day_of_week
AP0199,Kadapa-Hyderabad,Semi-Sleeper,Tirupati,2024-09-25,63,37,59.78,466.19,203.47,7528.22,143.06,September,Wednesday
AP0200,Hyderabad-Vijayawada,Volvo AC,Vijayawada,2024-03-07,49,38,78.08,284.47,695.82,26441.05,87.4,March,Thursday
AP0201,Guntur-Hyderabad,Volvo AC,Guntur,2024-10-12,53,38,72.16,517.26,528.55,20084.86,106.98,October,Saturday
AP0202,Vijayawada-Visakhapatnam,Semi-Sleeper,Tirupati,2024-04-30,63,46,73.89,258.5,354.9,16325.25,56.63,April,Tuesday
AP0203,Kurnool-Hyderabad,Volvo AC,Hyderabad,2024-01-05,57,38,67.51,240.77,332.89,12649.65,56.69,January,Friday
AP0204,Vijayawada-Visakhapatnam,Volvo AC,Hyderabad,2024-10-14,53,44,84.54,431.33,815.04,35861.65,109.17,October,Monday
AP0205,Hyderabad-Vijayawada,Sleeper,Tirupati,2024-08-24,40,35,89.35,270.64,827.46,28961.08,64.84,August,Saturday
AP0206,Hyderabad-Visakhapatnam,Ordinary,Guntur,2024-06-02,55,35,64.22,593.04,152.37,5333.11,184.22,June,Sunday
AP0207,Vijayawada-Visakhapatnam,Express,Nellore,2024-10-17,63,31,49.39,358.18,444.9,13791.93,81.02,October,Thursday
AP0208,Ongole-Hyderabad,Express,Kurnool,2024-06-11,63,51,81.51,299.29,329.69,16814.38,69.43,June,Tuesday
AP0209,Hyderabad-Visakhapatnam,Super Luxury,Vijayawada,2024-04-19,49,37,76.8,609.5,706.84,26153.11,118.25,April,Friday
AP0210,Guntur-Hyderabad,Semi-Sleeper,Guntur,2024-01-25,59,43,73.27,312.83,272.95,11737.0,84.41,January,Thursday
AP0211,Eluru-Hyderabad,Volvo AC,Guntur,2024-06-08,49,37,75.81,422.58,901.55,33357.41,102.25,June,Saturday
AP0212,Kadapa-Hyderabad,Super Luxury,Kurnool,2024-09-23,53,49,93.85,281.13,351.54,17225.22,63.18,September,Monday
AP0213,Hyderabad-Visakhapatnam,Sleeper,Nellore,2024-09-19,36,24,68.84,595.82,598.54,14365.04,114.94,September,Thursday
AP0214,Chittoor-Bangalore,Ordinary,Tirupati,2024-11-03,55,39,72.52,196.57,148.05,5773.97,37.59,November,Sunday
AP0215,Vijayawada-Visakhapatnam,Volvo AC,Kurnool,2024-01-07,57,31,55.82,213.31,591.21,18327.37,49.38,January,Sunday
AP0216,Anantapur-Bangalore,Volvo AC,Kurnool,2024-08-17,53,39,75.18,326.73,908.29,35423.41,89.2,August,Saturday
AP0217,Eluru-Hyderabad,Sleeper,Vijayawada,2024-07-06,36,30,83.69,250.59,521.18,15635.34,55.99,July,Saturday
AP0218,Anantapur-Bangalore,Sleeper,Tirupati,2024-09-08,40,20,50.84,305.67,576.36,11527.1,80.61,September,Sunday
AP0219,Hyderabad-Visakhapatnam,Super Luxury,Hyderabad,2024-04-14,49,39,79.82,615.7,751.79,29319.63,131.96,April,Sunday
AP0220,Hyderabad-Vijayawada,Ordinary,Hyderabad,2024-08-19,55,55,100.0,279.88,201.55,11085.29,64.09,August,Monday
AP0221,Vijayawada-Tirupati,Volvo AC,Visakhapatnam,2024-12-08,53,30,58.05,480.17,313.66,9409.72,83.52,December,Sunday
AP0222,Nellore-Chennai,Sleeper,Visakhapatnam,2024-05-31,36,21,58.48,429.31,591.22,12415.6,78.31,May,Friday
AP0223,Hyderabad-Vijayawada,Sleeper,Tirupati,2024-09-17,40,37,94.48,258.85,555.55,20555.4,84.12,September,Tuesday
AP0224,Ongole-Hyderabad,Semi-Sleeper,Vijayawada,2024-04-14,59,55,94.67,263.86,298.57,16421.38,69.52,April,Sunday
AP0225,Rajahmundry-Hyderabad,Ordinary,Vijayawada,2024-09-14,59,43,74.21,285.65,326.98,14059.97,54.49,September,Saturday
AP0226,Guntur-Hyderabad,Sleeper,Guntur,2024-07-01,40,34,87.44,313.5,707.38,24050.84,81.88,July,Monday
AP0227,Rajahmundry-Hyderabad,Ordinary,Visakhapatnam,2024-06-22,59,52,89.61,327.87,100.0,5200.0,76.63,June,Saturday
AP0228,Hyderabad-Vijayawada,Sleeper,Visakhapatnam,2024-05-28,44,40,92.03,287.56,481.76,19270.31,74.71,May,Tuesday
AP0229,Ongole-Hyderabad,Semi-Sleeper,Kurnool,2024-12-10,63,58,92.6,462.48,303.03,17575.77,119.8,December,Tuesday
AP0230,Guntur-Hyderabad,Volvo AC,Guntur,2024-04-04,49,39,79.71,431.27,691.97,26986.8,86.91,April,Thursday
AP0231,Eluru-Hyderabad,Super Luxury,Nellore,2024-01-03,53,45,85.85,430.34,674.17,30337.49,83.05,January,Wednesday
AP0232,Eluru-Hyderabad,Semi-Sleeper,Visakhapatnam,2024-05-23,55,42,78.08,336.15,330.16,13866.56,95.48,May,Thursday
AP0233,Nellore-Chennai,Ordinary,Tirupati,2024-10-28,59,25,42.99,220.65,233.28,5831.95,41.15,October,Monday
AP0234,Kurnool-Hyderabad,Super Luxury,Visakhapatnam,2024-03-30,45,43,97.3,336.6,451.94,19433.32,74.6,March,Saturday
AP0235,Kakinada-Vijayawada,Semi-Sleeper,Tirupati,2024-08-30,59,43,72.97,427.38,187.21,8049.95,79.18,August,Friday
AP0236,Eluru-Hyderabad,Semi-Sleeper,Visakhapatnam,2024-11-05,59,40,69.01,180.12,388.16,15526.28,31.79,November,Tuesday
AP0237,Nellore-Chennai,Sleeper,Vijayawada,2024-03-11,36,30,85.25,205.54,425.38,12761.46,64.82,March,Monday
AP0238,Vijayawada-Visakhapatnam,Sleeper,Kurnool,2024-09-10,40,26,66.07,536.13,603.22,15683.61,89.22,September,Tuesday
AP0239,Nellore-Chennai,Express,Kurnool,2024-05-31,63,48,76.56,268.18,337.52,16201.01,59.63,May,Friday
AP0240,Kadapa-Hyderabad,Volvo AC,Kurnool,2024-07-01,49,46,94.6,306.82,816.31,37550.38,80.93,July,Monday
AP0241,Hyderabad-Vijayawada,Express,Nellore,2024-04-27,63,34,54.52,286.6,448.01,15232.2,55.05,April,Saturday
AP0242,Kadapa-Hyderabad,Ordinary,Hyderabad,2024-03-18,63,63,100.0,327.35,244.94,15431.02,87.7,March,Monday
AP0243,Chittoor-Bangalore,Super Luxury,Nellore,2024-09-15,45,40,90.86,385.62,882.69,35307.52,84.96,September,Sunday
AP0244,Kadapa-Hyderabad,Super Luxury,Hyderabad,2024-09-01,49,49,100.0,160.4,853.05,41799.36,34.6,September,Sunday
AP0245,Hyderabad-Tirupati,Express,Visakhapatnam,2024-03-14,55,39,72.08,514.99,503.3,19628.56,228.38,March,Thursday
AP0246,Vijayawada-Tirupati,Volvo AC,Kurnool,2024-11-08,57,35,62.84,62.87,702.65,24592.7,14.38,November,Friday
AP0247,Vijayawada-Visakhapatnam,Semi-Sleeper,Hyderabad,2024-02-05,55,20,38.04,426.61,278.38,5567.65,77.83,February,Monday
AP0248,Vijayawada-Tirupati,Semi-Sleeper,Tirupati,2024-06-30,59,24,40.93,265.97,173.68,4168.2,70.7,June,Sunday
AP0249,Eluru-Hyderabad,Express,Hyderabad,2024-01-07,59,44,74.79,107.58,347.39,15285.26,20.66,January,Sunday
AP0250,Guntur-Hyderabad,Express,Visakhapatnam,2024-05-21,63,52,82.74,465.98,406.7,21148.35,110.99,May,Tuesday
AP0251,Rajahmundry-Hyderabad,Sleeper,Vijayawada,2024-06-09,36,30,84.16,396.64,549.21,16476.16,88.7,June,Sunday
AP0252,Hyderabad-Visakhapatnam,Sleeper,Tirupati,2024-03-01,40,29,72.54,630.35,551.84,16003.32,95.07,March,Friday
AP0253,Kadapa-Hyderabad,Express,Tirupati,2024-07-16,59,45,77.28,567.37,370.45,16670.06,108.02,July,Tuesday
AP0254,Hyderabad-Visakhapatnam,Ordinary,Vijayawada,2024-06-15,59,52,88.56,607.54,284.92,14816.09,112.6,June,Saturday
AP0255,Guntur-Hyderabad,Volvo AC,Nellore,2024-10-03,53,40,75.86,136.69,1079.45,43177.81,30.57,October,Thursday
AP0256,Vijayawada-Visakhapatnam,Express,Nellore,2024-08-01,63,47,76.18,382.31,479.54,22538.56,88.95,August,Thursday
AP0257,Vijayawada-Visakhapatnam,Volvo AC,Kurnool,2024-03-06,53,15,28.74,386.72,741.64,11124.57,67.02,March,Wednesday
AP0258,Rajahmundry-Hyderabad,Semi-Sleeper,Visakhapatnam,2024-03-29,63,55,88.22,379.88,256.67,14116.73,97.44,March,Friday
AP0259,Anantapur-Bangalore,Express,Visakhapatnam,2024-02-24,55,17,31.23,537.33,411.33,6992.56,100.17,February,Saturday
AP0260,Rajahmundry-Hyderabad,Semi-Sleeper,Vijayawada,2024-09-15,59,36,62.3,433.38,288.78,10396.03,104.23,September,Sunday
AP0261,Anantapur-Bangalore,Express,Visakhapatnam,2024-04-10,55,27,49.69,428.18,345.35,9324.43,86.43,April,Wednesday
AP0262,Vijayawada-Visakhapatnam,Semi-Sleeper,Kurnool,2024-01-21,63,30,49.15,342.04,277.21,8316.28,70.35,January,Sunday
AP0263,Ongole-Hyderabad,Sleeper,Vijayawada,2024-07-14,44,31,71.17,289.66,485.98,15065.32,61.35,July,Sunday
AP0264,Rajahmundry-Hyderabad,Volvo AC,Vijayawada,2024-05-13,57,32,56.14,383.85,695.2,22246.42,90.03,May,Monday
AP0265,Hyderabad-Tirupati,Volvo AC,Tirupati,2024-10-12,53,48,91.25,553.35,534.41,25651.81,120.55,October,Saturday
AP0266,Kakinada-Vijayawada,Sleeper,Tirupati,2024-03-15,36,18,51.79,271.6,598.25,10768.48,54.46,March,Friday
AP0267,Rajahmundry-Hyderabad,Semi-Sleeper,Hyderabad,2024-09-04,63,58,93.38,301.09,241.76,14021.97,63.55,September,Wednesday
AP0268,Chittoor-Bangalore,Semi-Sleeper,Hyderabad,2024-08-14,63,33,52.44,249.97,319.43,10541.12,63.16,August,Wednesday
AP0269,Rajahmundry-Hyderabad,Sleeper,Guntur,2024-11-28,36,27,77.69,422.36,792.5,21397.59,83.9,November,Thursday
AP0270,Eluru-Hyderabad,Express,Visakhapatnam,2024-02-15,63,53,84.76,312.07,427.27,22645.3,86.95,February,Thursday
AP0271,Guntur-Hyderabad,Semi-Sleeper,Tirupati,2024-12-09,63,44,70.45,296.47,173.85,7649.49,66.96,December,Monday
AP0272,Ongole-Hyderabad,Express,Kurnool,2024-06-21,63,43,68.47,434.34,470.95,20250.64,88.71,June,Friday
AP0273,Kurnool-Hyderabad,Semi-Sleeper,Nellore,2024-04-29,55,49,89.13,415.94,413.34,20253.64,99.25,April,Monday
AP0274,Guntur-Hyderabad,Sleeper,Guntur,2024-03-29,36,25,71.72,348.06,678.42,16960.57,81.75,March,Friday
AP0275,Ongole-Hyderabad,Super Luxury,Guntur,2024-09-20,49,28,58.98,284.44,441.95,12374.53,61.58,September,Friday
AP0276,Hyderabad-Visakhapatnam,Ordinary,Guntur,2024-03-02,63,49,78.22,621.18,322.2,15787.68,98.56,March,Saturday
AP0277,Hyderabad-Vijayawada,Semi-Sleeper,Tirupati,2024-06-20,55,50,92.43,262.88,255.6,12780.21,66.93,June,Thursday
AP0278,Hyderabad-Vijayawada,Sleeper,Guntur,2024-11-27,44,33,75.42,284.8,607.6,20050.93,42.83,November,Wednesday
AP0279,Guntur-Hyderabad,Volvo AC,Kurnool,2024-01-21,53,50,95.6,315.1,902.24,45112.03,74.74,January,Sunday
AP0280,Hyderabad-Tirupati,Semi-Sleeper,Tirupati,2024-03-16,63,58,92.99,525.86,296.39,17190.78,116.24,March,Saturday
AP0281,Kadapa-Hyderabad,Super Luxury,Kurnool,2024-03-27,53,32,61.04,354.36,465.6,14899.21,60.51,March,Wednesday
AP0282,Guntur-Hyderabad,Semi-Sleeper,Kurnool,2024-05-21,59,32,55.2,327.98,190.6,6099.28,115.25,May,Tuesday
AP0283,Hyderabad-Tirupati,Sleeper,Tirupati,2024-12-18,40,21,53.14,557.45,714.84,15011.62,117.83,December,Wednesday
AP0284,Kakinada-Vijayawada,Sleeper,Guntur,2024-01-17,44,44,100.0,291.92,786.43,34602.76,56.32,January,Wednesday
AP0285,Nellore-Chennai,Sleeper,Visakhapatnam,2024-05-26,44,35,79.85,540.12,735.17,25730.86,121.33,May,Sunday
AP0286,Anantapur-Bangalore,Sleeper,Nellore,2024-04-18,44,13,29.73,433.13,572.49,7442.33,99.46,April,Thursday
AP0287,Chittoor-Bangalore,Sleeper,Hyderabad,2024-11-19,36,22,62.94,312.3,613.05,13487.08,62.96,November,Tuesday
AP0288,Ongole-Hyderabad,Ordinary,Nellore,2024-08-12,63,49,79.01,502.14,196.38,9622.62,122.26,August,Monday
AP0289,Chittoor-Bangalore,Express,Visakhapatnam,2024-11-02,63,35,56.63,483.02,451.19,15791.73,86.85,November,Saturday
AP0290,Anantapur-Bangalore,Sleeper,Vijayawada,2024-03-24,36,21,60.14,445.31,494.66,10387.85,94.15,March,Sunday
AP0291,Guntur-Hyderabad,Super Luxury,Guntur,2024-08-22,45,34,76.63,381.69,428.44,14567.0,63.4,August,Thursday
AP0292,Hyderabad-Vijayawada,Sleeper,Nellore,2024-04-08,44,37,85.99,290.72,347.31,12850.46,68.7,April,Monday
AP0293,Kadapa-Hyderabad,Ordinary,Guntur,2024-06-20,59,53,90.77,257.1,270.99,14362.42,92.65,June,Thursday
AP0294,Eluru-Hyderabad,Ordinary,Nellore,2024-01-07,63,43,69.82,223.31,243.74,10480.75,49.24,January,Sunday
AP0295,Vijayawada-Visakhapatnam,Sleeper,Hyderabad,2024-05-05,36,18,51.4,115.05,526.41,9475.33,24.13,May,Sunday
AP0296,Anantapur-Bangalore,Ordinary,Hyderabad,2024-11-16,59,54,92.31,377.19,327.19,17668.16,69.51,November,Saturday
AP0297,Eluru-Hyderabad,Volvo AC,Hyderabad,2024-06-02,57,32,57.8,238.53,790.81,25305.79,52.1,June,Sunday
AP0298,Anantapur-Bangalore,Semi-Sleeper,Kurnool,2024-05-01,63,47,74.73,169.62,238.12,11191.54,40.23,May,Wednesday
AP0299,Kadapa-Hyderabad,Sleeper,Vijayawada,2024-10-11,40,16,40.7,467.31,614.54,9832.65,97.44,October,Friday
AP0300,Kadapa-Hyderabad,Super Luxury,Nellore,2024-12-08,45,36,80.96,507.28,597.25,21501.16,107.92,December,Sunday
AP0301,Hyderabad-Tirupati,Super Luxury,Vijayawada,2024-01-21,49,42,87.73,545.8,681.42,28619.81,132.4,January,Sunday
AP0302,Chittoor-Bangalore,Super Luxury,Nellore,2024-04-20,53,33,63.33,332.81,413.76,13654.0,92.1,April,Saturday
AP0303,Hyderabad-Visakhapatnam,Super Luxury,Tirupati,2024-12-06,45,39,88.49,606.2,643.78,25107.39,107.25,December,Friday
AP0304,Nellore-Chennai,Volvo AC,Guntur,2024-12-19,57,17,29.94,375.8,1328.87,22590.77,102.0,December,Thursday
AP0305,Anantapur-Bangalore,Semi-Sleeper,Guntur,2024-07-02,59,34,59.02,313.82,206.36,7016.39,66.43,July,Tuesday
AP0306,Vijayawada-Visakhapatnam,Ordinary,Kurnool,2024-04-11,59,43,73.07,172.7,251.5,10814.6,31.35,April,Thursday
AP0307,Anantapur-Bangalore,Ordinary,Kurnool,2024-06-27,63,55,87.49,327.82,202.35,11129.09,65.05,June,Thursday
AP0308,Vijayawada-Tirupati,Semi-Sleeper,Visakhapatnam,2024-06-11,63,33,53.26,478.07,345.52,11402.04,99.49,June,Tuesday
AP0309,Eluru-Hyderabad,Ordinary,Tirupati,2024-01-13,63,39,63.08,336.47,168.14,6557.53,63.45,January,Saturday
AP0310,Eluru-Hyderabad,Semi-Sleeper,Guntur,2024-11-15,63,44,71.38,357.9,406.57,17888.86,66.73,November,Friday
AP0311,Ongole-Hyderabad,Sleeper,Tirupati,2024-05-14,40,35,87.94,296.44,587.19,20551.68,57.17,May,Tuesday
AP0312,Hyderabad-Tirupati,Ordinary,Tirupati,2024-09-13,55,47,85.73,561.67,291.2,13686.56,114.89,September,Friday
AP0313,Vijayawada-Visakhapatnam,Super Luxury,Vijayawada,2024-12-23,49,20,42.55,333.69,566.62,11332.37,85.47,December,Monday
AP0314,Anantapur-Bangalore,Super Luxury,Visakhapatnam,2024-05-24,49,47,97.61,389.06,764.51,35932.11,75.78,May,Friday
AP0315,Kurnool-Hyderabad,Express,Vijayawada,2024-04-20,59,29,50.73,333.86,386.36,11204.3,84.9,April,Saturday
AP0316,Eluru-Hyderabad,Volvo AC,Vijayawada,2024-04-27,53,34,65.55,303.07,974.58,33135.85,76.89,April,Saturday
AP0317,Kadapa-Hyderabad,Sleeper,Nellore,2024-01-31,36,20,56.41,498.12,814.38,16287.5,120.99,January,Wednesday
AP0318,Hyderabad-Vijayawada,Semi-Sleeper,Vijayawada,2024-02-22,59,55,93.58,287.11,394.04,21672.25,77.16,February,Thursday
AP0319,Nellore-Chennai,Semi-Sleeper,Kurnool,2024-10-16,63,38,61.31,280.45,157.55,5986.9,48.81,October,Wednesday
AP0320,Hyderabad-Visakhapatnam,Express,Nellore,2024-11-01,59,44,75.23,603.44,337.38,14844.76,130.5,November,Friday
AP0321,Nellore-Chennai,Ordinary,Kurnool,2024-06-10,55,23,42.66,368.49,316.01,7268.18,100.75,June,Monday
AP0322,Chittoor-Bangalore,Volvo AC,Tirupati,2024-08-05,57,20,36.22,376.54,424.09,8481.76,93.35,August,Monday
AP0323,Kadapa-Hyderabad,Ordinary,Tirupati,2024-08-22,59,52,88.89,308.55,363.82,18918.63,76.89,August,Thursday
AP0324,Kadapa-Hyderabad,Sleeper,Hyderabad,2024-10-19,44,30,69.09,574.11,581.51,17445.32,137.62,October,Saturday
AP0325,Kakinada-Vijayawada,Ordinary,Guntur,2024-09-12,55,32,59.4,250.38,100.0,3200.0,56.25,September,Thursday
AP0326,Ongole-Hyderabad,Super Luxury,Tirupati,2024-06-14,53,29,55.11,266.88,632.99,18356.64,47.37,June,Friday
AP0327,Anantapur-Bangalore,Semi-Sleeper,Kurnool,2024-09-20,55,21,38.56,340.16,303.64,6376.41,81.91,September,Friday
AP0328,Kurnool-Hyderabad,Volvo AC,Vijayawada,2024-09-08,53,37,69.9,369.23,827.66,30623.41,84.27,September,Sunday
AP0329,Anantapur-Bangalore,Super Luxury,Guntur,2024-04-11,45,28,62.38,241.76,338.42,9475.84,47.12,April,Thursday
AP0330,Nellore-Chennai,Express,Kurnool,2024-01-17,63,38,61.65,93.77,417.65,15870.65,21.57,January,Wednesday
AP0331,Chittoor-Bangalore,Semi-Sleeper,Tirupati,2024-12-05,59,32,54.74,551.79,248.46,7950.69,118.08,December,Thursday
AP0332,Kurnool-Hyderabad,Volvo AC,Nellore,2024-06-23,57,39,69.96,273.69,711.61,27752.65,59.39,June,Sunday
AP0333,Ongole-Hyderabad,Ordinary,Vijayawada,2024-01-07,55,30,55.68,474.41,229.12,6873.71,123.5,January,Sunday
AP0334,Vijayawada-Visakhapatnam,Ordinary,Kurnool,2024-04-20,55,53,96.75,366.48,391.69,20759.45,80.71,April,Saturday
AP0335,Hyderabad-Tirupati,Ordinary,Visakhapatnam,2024-07-13,55,50,92.3,509.98,279.7,13984.85,132.9,July,Saturday
AP0336,Kadapa-Hyderabad,Ordinary,Guntur,2024-01-04,63,31,50.35,367.26,241.74,7493.93,88.59,January,Thursday
AP0337,Kakinada-Vijayawada,Ordinary,Nellore,2024-07-17,59,36,61.03,223.98,292.97,10546.82,55.9,July,Wednesday
AP0338,Kakinada-Vijayawada,Ordinary,Vijayawada,2024-12-25,63,48,77.29,382.57,213.17,10232.04,90.99,December,Wednesday
AP0339,Vijayawada-Visakhapatnam,Volvo AC,Visakhapatnam,2024-02-16,53,18,34.85,323.7,637.83,11480.91,106.78,February,Friday
AP0340,Eluru-Hyderabad,Ordinary,Kurnool,2024-08-11,59,42,72.66,453.56,162.87,6840.69,117.15,August,Sunday
AP0341,Kadapa-Hyderabad,Express,Guntur,2024-07-20,59,47,81.18,331.96,410.77,19306.17,59.3,July,Saturday
AP0342,Ongole-Hyderabad,Sleeper,Nellore,2024-11-26,44,31,71.0,266.13,443.69,13754.32,55.19,November,Tuesday
AP0343,Kadapa-Hyderabad,Express,Visakhapatnam,2024-05-18,55,32,58.52,354.8,561.66,17973.03,74.45,May,Saturday
AP0344,Vijayawada-Tirupati,Ordinary,Vijayawada,2024-05-04,59,37,63.14,403.51,192.67,7128.75,79.0,May,Saturday
AP0345,Hyderabad-Visakhapatnam,Ordinary,Visakhapatnam,2024-01-08,59,43,73.17,597.17,292.08,12559.36,122.11,January,Monday
AP0346,Ongole-Hyderabad,Volvo AC,Nellore,2024-12-07,49,25,51.82,373.22,751.82,18795.44,105.5,December,Saturday
AP0347,Kadapa-Hyderabad,Semi-Sleeper,Tirupati,2024-02-24,59,42,71.89,301.0,299.48,12578.12,61.75,February,Saturday
AP0348,Nellore-Chennai,Super Luxury,Kurnool,2024-11-22,53,31,58.68,699.59,534.49,16569.25,210.13,November,Friday
AP0349,Hyderabad-Vijayawada,Super Luxury,Tirupati,2024-04-25,49,31,64.92,292.88,587.32,18206.78,72.74,April,Thursday
AP0350,Kadapa-Hyderabad,Volvo AC,Guntur,2024-07-11,53,29,56.33,398.72,1075.74,31196.52,79.33,July,Thursday
AP0351,Hyderabad-Vijayawada,Semi-Sleeper,Vijayawada,2024-05-28,55,47,85.63,282.38,163.16,7668.69,48.17,May,Tuesday
AP0352,Hyderabad-Tirupati,Volvo AC,Vijayawada,2024-05-11,57,44,77.6,545.27,763.64,33600.38,104.11,May,Saturday
AP0353,Kurnool-Hyderabad,Express,Tirupati,2024-04-21,55,41,74.82,264.0,254.88,10450.18,71.82,April,Sunday
AP0354,Kurnool-Hyderabad,Semi-Sleeper,Tirupati,2024-07-13,59,56,95.78,351.11,139.51,7812.63,69.28,July,Saturday
AP0355,Eluru-Hyderabad,Super Luxury,Nellore,2024-06-29,49,28,58.93,356.32,785.37,21990.29,64.22,June,Saturday
AP0356,Nellore-Chennai,Volvo AC,Nellore,2024-12-22,49,35,73.32,419.02,766.56,26829.63,170.8,December,Sunday
AP0357,Rajahmundry-Hyderabad,Express,Nellore,2024-08-26,59,42,72.56,417.94,499.5,20978.92,116.71,August,Monday
AP0358,Rajahmundry-Hyderabad,Sleeper,Guntur,2024-07-24,40,25,64.84,292.93,389.35,9733.87,57.58,July,Wednesday
AP0359,Rajahmundry-Hyderabad,Semi-Sleeper,Visakhapatnam,2024-02-28,59,37,63.73,523.89,306.43,11337.88,99.16,February,Wednesday
AP0360,Kurnool-Hyderabad,Express,Vijayawada,2024-02-17,59,45,77.0,125.93,225.16,10132.28,29.53,February,Saturday
AP0361,Vijayawada-Visakhapatnam,Ordinary,Visakhapatnam,2024-03-21,55,35,65.0,265.26,219.28,7674.88,53.79,March,Thursday
AP0362,Rajahmundry-Hyderabad,Express,Nellore,2024-09-07,55,55,100.0,308.22,367.93,20236.33,58.67,September,Saturday
AP0363,Rajahmundry-Hyderabad,Sleeper,Hyderabad,2024-03-16,36,20,56.67,393.95,466.16,9323.18,76.9,March,Saturday
AP0364,Eluru-Hyderabad,Sleeper,Nellore,2024-05-07,40,32,82.4,395.42,361.52,11568.65,97.1,May,Tuesday
AP0365,Vijayawada-Visakhapatnam,Express,Hyderabad,2024-06-16,63,43,69.1,538.23,393.97,16940.76,119.4,June,Sunday
AP0366,Hyderabad-Tirupati,Sleeper,Hyderabad,2024-04-04,36,16,45.77,554.68,667.46,10679.41,118.42,April,Thursday
AP0367,Vijayawada-Visakhapatnam,Volvo AC,Nellore,2024-04-23,49,23,48.78,285.06,993.5,22850.44,55.7,April,Tuesday
AP0368,Kurnool-Hyderabad,Super Luxury,Visakhapatnam,2024-05-19,49,32,65.4,227.31,610.46,19534.78,54.74,May,Sunday
AP0369,Hyderabad-Vijayawada,Semi-Sleeper,Hyderabad,2024-01-19,55,39,72.22,266.96,330.73,12898.28,85.18,January,Friday
AP0370,Guntur-Hyderabad,Sleeper,Visakhapatnam,2024-03-19,36,24,66.78,488.73,671.94,16126.52,90.22,March,Tuesday
AP0371,Kurnool-Hyderabad,Semi-Sleeper,Nellore,2024-12-26,55,37,67.58,392.45,371.63,13750.2,89.9,December,Thursday
AP0372,Rajahmundry-Hyderabad,Express,Kurnool,2024-06-17,59,44,76.16,388.82,267.17,11755.41,85.81,June,Monday
AP0373,Vijayawada-Tirupati,Express,Vijayawada,2024-09-22,55,37,67.49,200.35,265.32,9816.98,50.34,September,Sunday
AP0374,Hyderabad-Visakhapatnam,Ordinary,Visakhapatnam,2024-10-21,59,35,59.94,593.65,176.25,6168.79,122.44,October,Monday
AP0375,Anantapur-Bangalore,Sleeper,Nellore,2024-11-17,40,25,63.71,309.89,684.99,17124.77,51.68,November,Sunday
AP0376,Ongole-Hyderabad,Sleeper,Vijayawada,2024-02-17,44,42,96.83,468.99,537.12,22558.85,88.31,February,Saturday
AP0377,Guntur-Hyderabad,Ordinary,Visakhapatnam,2024-11-10,55,28,51.95,565.53,302.45,8468.55,152.11,November,Sunday
AP0378,Guntur-Hyderabad,Super Luxury,Guntur,2024-10-27,49,27,55.1,299.66,658.6,17782.32,68.31,October,Sunday
AP0379,Vijayawada-Visakhapatnam,Ordinary,Hyderabad,2024-10-14,55,32,58.76,311.46,295.76,9464.47,64.4,October,Monday
AP0380,Guntur-Hyderabad,Semi-Sleeper,Hyderabad,2024-05-06,59,44,74.79,372.53,385.97,16982.71,88.61,May,Monday
AP0381,Rajahmundry-Hyderabad,Volvo AC,Nellore,2024-02-10,49,24,50.9,376.39,712.65,17103.53,114.74,February,Saturday
AP0382,Kakinada-Vijayawada,Express,Tirupati,2024-02-16,55,20,37.43,385.92,458.71,9174.28,77.89,February,Friday
AP0383,Eluru-Hyderabad,Ordinary,Hyderabad,2024-11-26,59,50,85.47,418.21,230.3,11514.76,73.5,November,Tuesday
AP0384,Hyderabad-Visakhapatnam,Semi-Sleeper,Nellore,2024-06-22,63,51,81.79,573.45,282.63,14414.14,128.69,June,Saturday
AP0385,Hyderabad-Tirupati,Express,Kurnool,2024-07-27,59,52,88.31,574.44,486.92,25319.61,147.38,July,Saturday
AP0386,Rajahmundry-Hyderabad,Sleeper,Kurnool,2024-02-25,36,32,91.11,380.38,592.65,18964.76,74.92,February,Sunday
AP0387,Anantapur-Bangalore,Sleeper,Vijayawada,2024-09-08,40,29,73.86,188.46,459.05,13312.48,65.63,September,Sunday
AP0388,Anantapur-Bangalore,Sleeper,Nellore,2024-05-14,36,8,24.53,389.66,613.77,4910.17,112.98,May,Tuesday
AP0389,Kadapa-Hyderabad,Super Luxury,Kurnool,2024-02-07,49,29,59.9,224.35,746.84,21658.32,43.56,February,Wednesday
AP0390,Vijayawada-Tirupati,Sleeper,Guntur,2024-03-09,44,34,79.16,280.56,854.09,29039.08,58.89,March,Saturday
AP0391,Hyderabad-Vijayawada,Volvo AC,Tirupati,2024-02-21,57,28,50.1,287.86,819.92,22957.79,75.62,February,Wednesday
AP0392,Nellore-Chennai,Ordinary,Guntur,2024-12-27,55,30,54.9,235.45,293.91,8817.32,69.06,December,Friday
AP0393,Kakinada-Vijayawada,Ordinary,Hyderabad,2024-04-27,63,27,42.97,302.53,231.62,6253.63,56.8,April,Saturday
AP0394,Vijayawada-Tirupati,Express,Nellore,2024-10-11,63,39,63.29,328.72,417.48,16281.79,73.54,October,Friday
AP0395,Eluru-Hyderabad,Sleeper,Nellore,2024-09-03,44,26,61.22,73.89,799.99,20799.8,17.73,September,Tuesday
AP0396,Nellore-Chennai,Sleeper,Vijayawada,2024-05-17,40,25,63.22,321.9,963.11,24077.82,66.51,May,Friday
